"";"*type_formelle";"*type_informelle"
"des";29;285
"avoir";30;153
"le";35;125
"au";25;79
"soudan";23;24
"deux";8;15
"s";5;20
"par";14;50
"les";46;272
"homme";2;8
"à";23;139
"l";29;164
"du";31;95
"d";32;143
"octobre";7;7
"un";15;69
"force";8;21
"armée";4;7
"général";5;5
"al";3;10
"pouvoir";8;11
"de";79;361
"être";36;145
"une";20;77
"humanitaire";9;15
"ne";15;31
"aux";2;25
"et";21;226
"la";50;198
"aide";2;10
"dans";19;97
"moins";3;9
"an";6;4
"conflit";3;22
"pays";11;12
"violence";4;12
"que";11;48
"onu";4;12
"crise";3;8
"million";6;9
"personne";4;25
"depuis";10;6
"dont";2;13
"plus";6;22
"prendre";6;8
"el";11;15
"fasher";10;7
"nord";3;11
"darfour";6;23
"état";1;14
"kordofan";2;10
"leur";1;11
"pour";8;57
"se";10;19
"il";5;34
"savoir";1;14
"en";20;111
"guerre";13;19
"civil";5;20
"mort";6;5
"média";6;6
"occidental";5;6
"pas";9;16
"journaliste";10;7
"soudanais";9;5
"cette";5;10
"faire";4;14
"y";4;13
"c";2;12
"sur";12;28
"aussi";3;14
"pratique";1;9
"mais";3;15
"avec";3;17
"qui";12;63
"ce";5;23
"qu";6;22
"elle";2;8
"ils";6;9
"donc";2;8
"contre";1;18
"comprendre";1;14
"notamment";1;13
"également";2;12
"ces";4;15
"ou";4;21
"alors";2;10
"son";2;14
"fsr";3;39
"partie";1;17
"ville";6;8
"commettre";2;14
"où";2;9
"entre";1;16
"crime";1;18
"nous";2;8
"très";2;8
"dizaine";2;12
"khartoum";2;14
"attaque";1;19
"tuer";1;13
"milice";1;9
"fas";1;27
"ses";1;14
"tout";1;9
"plusieurs";1;9
"leurs";1;12
"droit";0;10
"mission";0;10
"autres";0;14
"femme";0;11
"allié";0;18
"combattant";0;12
"ainsi";0;15
"partir";0;12
"sexuel";0;15
"mener";0;12
"établissement";0;19
"comme";0;10
"enseignant";0;19
"formation";0;35
"professeur";0;20
"histoire";0;37
"enseigner";0;17
"enseignement";0;22
"secondaire";0;15
"discipline";0;11
"année";0;12
"programme";0;10
"concours";0;21
"stage";0;15
"pédagogique";0;14
"agrégation";0;17
