"";"banalfreq";"X.type_formelle";"X.type_informelle"
"avoir";183;-0,4129;0,4129
"le";160;1,0536;-1,0536
"au";104;1,2602;-1,2602
"deux";23;1,4466;-1,4466
"s";25;0,3452;-0,3452
"par";64;0,6579;-0,6579
"les";318;-1,1033;1,1033
"homme";10;0,2638;-0,2638
"à";162;-0,8157;0,8157
"l";193;-0,688;0,688
"du";126;1,5797;-1,5797
"d";175;0,3725;-0,3725
"un";84;0,2905;-0,2905
"force";29;0,919;-0,919
"armée";11;0,957;-0,957
"général";10;1,7227;-1,7227
"al";13;0,393;-0,393
"pouvoir";19;1,9769;-1,9769
"de";440;0,3756;-0,3756
"être";181;0,6527;-0,6527
"une";97;0,6117;-0,6117
"humanitaire";24;1,7978;-1,7978
"aux";27;-0,9067;0,9067
"la";248;0,8233;-0,8233
"aide";12;-0,189;0,189
"dans";116;-0,3667;0,3667
"moins";12;0,4525;-0,4525
"conflit";25;-0,4695;0,4695
"violence";16;0,5182;-0,5182
"que";59;0,3348;-0,3348
"onu";16;0,5182;-0,5182
"crise";11;0,5221;-0,5221
"million";15;1,4676;-1,4676
"personne";29;-0,3892;0,3892
"dont";15;-0,3042;0,3042
"plus";28;0,4379;-0,4379
"prendre";14;1,6216;-1,6216
"nord";14;0,342;-0,342
"darfour";29;0,3993;-0,3993
"état";15;-0,6334;0,6334
"kordofan";12;-0,189;0,189
"leur";12;-0,4538;0,4538
"pour";65;-0,7632;0,7632
"se";29;1,6756;-1,6756
"il";39;-0,5254;0,5254
"savoir";15;-0,6334;0,6334
"en";131;-0,5368;0,5368
"civil";25;0,3452;-0,3452
"média";12;1,9968;-1,9968
"occidental";11;1,5258;-1,5258
"pas";25;1,6753;-1,6753
"cette";15;0,9741;-0,9741
"faire";18;0,4093;-0,4093
"y";17;0,4604;-0,4604
"c";14;-0,2636;0,2636
"sur";40;1,4379;-1,4379
"aussi";17;0,2266;-0,2266
"pratique";10;-0,3418;0,3418
"mais";18;-0,2145;0,2145
"avec";20;-0,2794;0,2794
"qui";75;-0,3612;0,3612
"ce";28;0,2529;-0,2529
"qu";28;0,4379;-0,4379
"elle";10;0,2638;-0,2638
"ils";15;1,4676;-1,4676
"donc";10;0,2638;-0,2638
"contre";19;-0,8884;0,8884
"comprendre";15;-0,6334;0,6334
"notamment";14;-0,5722;0,5722
"également";14;-0,2636;0,2636
"ces";19;0,364;-0,364
"ou";25;-0,2609;0,2609
"alors";12;-0,189;0,189
"son";16;-0,3466;0,3466
"fsr";42;-1,3172;1,3172
"partie";18;-0,8233;0,8233
"ville";14;1,6216;-1,6216
"commettre";16;-0,3466;0,3466
"où";11;0,2225;-0,2225
"entre";17;-0,759;0,759
"crime";19;-0,8884;0,8884
"nous";10;0,2638;-0,2638
"très";10;0,2638;-0,2638
"dizaine";14;-0,2636;0,2636
"khartoum";16;-0,3466;0,3466
"attaque";20;-0,9543;0,9543
"tuer";14;-0,5722;0,5722
"milice";10;-0,3418;0,3418
"fas";28;-1,5039;1,5039
"ses";15;-0,6334;0,6334
"tout";10;-0,3418;0,3418
"plusieurs";10;-0,3418;0,3418
"leurs";13;-0,5123;0,5123
"droit";10;-0,837;0,837
"mission";10;-0,837;0,837
"autres";14;-1,1722;1,1722
"femme";11;-0,9208;0,9208
"allié";18;-1,5078;1,5078
"combattant";12;-1,0046;1,0046
"ainsi";15;-1,2561;1,2561
"partir";12;-1,0046;1,0046
"sexuel";15;-1,2561;1,2561
"mener";12;-1,0046;1,0046
"établissement";19;-1,5917;1,5917
"comme";10;-0,837;0,837
"enseignant";19;-1,5917;1,5917
"professeur";20;-1,6756;1,6756
"enseigner";17;-1,4239;1,4239
"enseignement";22;-1,8436;1,8436
"secondaire";15;-1,2561;1,2561
"discipline";11;-0,9208;0,9208
"année";12;-1,0046;1,0046
"programme";10;-0,837;0,837
"concours";21;-1,7596;1,7596
"stage";15;-1,2561;1,2561
"pédagogique";14;-1,1722;1,1722
"agrégation";17;-1,4239;1,4239
