"";"X.type_formelle";"X.type_informelle"
"des";29,77;62,13
"avoir";30,8;33,36
"le";35,93;27,25
"au";25,67;17,22
"soudan";23,61;5,23
"deux";8,21;3,27
"s";5,13;4,36
"par";14,37;10,9
"les";47,23;59,3
"homme";2,05;1,74
"à";23,61;30,3
"l";29,77;35,75
"du";31,83;20,71
"d";32,85;31,18
"octobre";7,19;1,53
"un";15,4;15,04
"force";8,21;4,58
"armée";4,11;1,53
"général";5,13;1,09
"al";3,08;2,18
"pouvoir";8,21;2,4
"de";81,11;78,7
"être";36,96;31,61
"une";20,53;16,79
"humanitaire";9,24;3,27
"ne";15,4;6,76
"aux";2,05;5,45
"et";21,56;49,27
"la";51,33;43,17
"aide";2,05;2,18
"dans";19,51;21,15
"moins";3,08;1,96
"an";6,16;0,87
"conflit";3,08;4,8
"pays";11,29;2,62
"violence";4,11;2,62
"que";11,29;10,46
"onu";4,11;2,62
"crise";3,08;1,74
"million";6,16;1,96
"personne";4,11;5,45
"depuis";10,27;1,31
"dont";2,05;2,83
"plus";6,16;4,8
"prendre";6,16;1,74
"el";11,29;3,27
"fasher";10,27;1,53
"nord";3,08;2,4
"darfour";6,16;5,01
"état";1,03;3,05
"kordofan";2,05;2,18
"leur";1,03;2,4
"pour";8,21;12,43
"se";10,27;4,14
"il";5,13;7,41
"savoir";1,03;3,05
"en";20,53;24,2
"guerre";13,35;4,14
"civil";5,13;4,36
"mort";6,16;1,09
"média";6,16;1,31
"occidental";5,13;1,31
"pas";9,24;3,49
"journaliste";10,27;1,53
"soudanais";9,24;1,09
"cette";5,13;2,18
"faire";4,11;3,05
"y";4,11;2,83
"c";2,05;2,62
"sur";12,32;6,1
"aussi";3,08;3,05
"pratique";1,03;1,96
"mais";3,08;3,27
"avec";3,08;3,71
"qui";12,32;13,73
"ce";5,13;5,01
"qu";6,16;4,8
"elle";2,05;1,74
"ils";6,16;1,96
"donc";2,05;1,74
"contre";1,03;3,92
"comprendre";1,03;3,05
"notamment";1,03;2,83
"également";2,05;2,62
"ces";4,11;3,27
"ou";4,11;4,58
"alors";2,05;2,18
"son";2,05;3,05
"fsr";3,08;8,5
"partie";1,03;3,71
"ville";6,16;1,74
"commettre";2,05;3,05
"où";2,05;1,96
"entre";1,03;3,49
"crime";1,03;3,92
"nous";2,05;1,74
"très";2,05;1,74
"dizaine";2,05;2,62
"khartoum";2,05;3,05
"attaque";1,03;4,14
"tuer";1,03;2,83
"milice";1,03;1,96
"fas";1,03;5,89
"ses";1,03;3,05
"tout";1,03;1,96
"plusieurs";1,03;1,96
"leurs";1,03;2,62
"droit";0;2,18
"mission";0;2,18
"autres";0;3,05
"femme";0;2,4
"allié";0;3,92
"combattant";0;2,62
"ainsi";0;3,27
"partir";0;2,62
"sexuel";0;3,27
"mener";0;2,62
"établissement";0;4,14
"comme";0;2,18
"enseignant";0;4,14
"formation";0;7,63
"professeur";0;4,36
"histoire";0;8,07
"enseigner";0;3,71
"enseignement";0;4,8
"secondaire";0;3,27
"discipline";0;2,4
"année";0;2,62
"programme";0;2,18
"concours";0;4,58
"stage";0;3,27
"pédagogique";0;3,05
"agrégation";0;3,71
