"";"X.type_formelle";"X.type_informelle"
"art_ind";39,68;57,18
"nom";217,61;232,59
"aux";40,92;39,54
"ver";78,12;89,16
"art_def";135,15;127,11
"num";25,42;19,77
"nr";86,17;59,71
"adj_num";9,3;2,65
"adj";53,94;63,29
"pro_per";26,66;19,24
"pre";146,31;146,34
"adj_ind";7,44;7,03
"adv";9,3;9,29
"ver_sup";10,54;6,77
"pro_ind";4,96;9,02
"adv_sup";35,34;26,54
"con";29,14;44,58
"nom_sup";9,3;2,92
"pro_rel";16,74;18,31
"adj_dem";5,58;3,98
"pro_dem";6,2;7,16
"adj_pos";4,34;6,63
"ono";1,24;0,93
"adj_sup";0,62;0,27
