"";"X.type_formelle";"X.type_informelle"
"des";-4,8158;4,8158
"avoir";-0,4129;0,4129
"le";1,0536;-1,0536
"au";1,2602;-1,2602
"soudan";6,1572;-6,1572
"deux";1,4466;-1,4466
"s";0,3452;-0,3452
"par";0,6579;-0,6579
"les";-1,1033;1,1033
"homme";0,2638;-0,2638
"à";-0,8157;0,8157
"l";-0,688;0,688
"du";1,5797;-1,5797
"d";0,3725;-0,3725
"octobre";2,2662;-2,2662
"un";0,2905;-0,2905
"force";0,919;-0,919
"armée";0,957;-0,957
"général";1,7227;-1,7227
"al";0,393;-0,393
"pouvoir";1,9769;-1,9769
"de";0,3756;-0,3756
"être";0,6527;-0,6527
"une";0,6117;-0,6117
"humanitaire";1,7978;-1,7978
"ne";2,0296;-2,0296
"aux";-0,9067;0,9067
"et";-4,5347;4,5347
"la";0,8233;-0,8233
"aide";-0,189;0,189
"dans";-0,3667;0,3667
"moins";0,4525;-0,4525
"an";2,5023;-2,5023
"conflit";-0,4695;0,4695
"pays";3,1077;-3,1077
"violence";0,5182;-0,5182
"que";0,3348;-0,3348
"onu";0,5182;-0,5182
"crise";0,5221;-0,5221
"million";1,4676;-1,4676
"personne";-0,3892;0,3892
"depuis";4,125;-4,125
"dont";-0,3042;0,3042
"plus";0,4379;-0,4379
"prendre";1,6216;-1,6216
"el";2,572;-2,572
"fasher";3,8135;-3,8135
"nord";0,342;-0,342
"darfour";0,3993;-0,3993
"état";-0,6334;0,6334
"kordofan";-0,189;0,189
"leur";-0,4538;0,4538
"pour";-0,7632;0,7632
"se";1,6756;-1,6756
"il";-0,5254;0,5254
"savoir";-0,6334;0,6334
"en";-0,5368;0,5368
"guerre";2,7571;-2,7571
"civil";0,3452;-0,3452
"mort";2,229;-2,229
"média";1,9968;-1,9968
"occidental";1,5258;-1,5258
"pas";1,6753;-1,6753
"journaliste";3,8135;-3,8135
"soudanais";3,8891;-3,8891
"cette";0,9741;-0,9741
"faire";0,4093;-0,4093
"y";0,4604;-0,4604
"c";-0,2636;0,2636
"sur";1,4379;-1,4379
"aussi";0,2266;-0,2266
"pratique";-0,3418;0,3418
"mais";-0,2145;0,2145
"avec";-0,2794;0,2794
"qui";-0,3612;0,3612
"ce";0,2529;-0,2529
"qu";0,4379;-0,4379
"elle";0,2638;-0,2638
"ils";1,4676;-1,4676
"donc";0,2638;-0,2638
"contre";-0,8884;0,8884
"comprendre";-0,6334;0,6334
"notamment";-0,5722;0,5722
"également";-0,2636;0,2636
"ces";0,364;-0,364
"ou";-0,2609;0,2609
"alors";-0,189;0,189
"son";-0,3466;0,3466
"fsr";-1,3172;1,3172
"partie";-0,8233;0,8233
"ville";1,6216;-1,6216
"commettre";-0,3466;0,3466
"où";0,2225;-0,2225
"entre";-0,759;0,759
"crime";-0,8884;0,8884
"nous";0,2638;-0,2638
"très";0,2638;-0,2638
"dizaine";-0,2636;0,2636
"khartoum";-0,3466;0,3466
"attaque";-0,9543;0,9543
"tuer";-0,5722;0,5722
"milice";-0,3418;0,3418
"fas";-1,5039;1,5039
"ses";-0,6334;0,6334
"tout";-0,3418;0,3418
"plusieurs";-0,3418;0,3418
"leurs";-0,5123;0,5123
"droit";-0,837;0,837
"mission";-0,837;0,837
"autres";-1,1722;1,1722
"femme";-0,9208;0,9208
"allié";-1,5078;1,5078
"combattant";-1,0046;1,0046
"ainsi";-1,2561;1,2561
"partir";-1,0046;1,0046
"sexuel";-1,2561;1,2561
"mener";-1,0046;1,0046
"établissement";-1,5917;1,5917
"comme";-0,837;0,837
"enseignant";-1,5917;1,5917
"formation";-2,9368;2,9368
"professeur";-1,6756;1,6756
"histoire";-3,1052;3,1052
"enseigner";-1,4239;1,4239
"enseignement";-1,8436;1,8436
"secondaire";-1,2561;1,2561
"discipline";-0,9208;0,9208
"année";-1,0046;1,0046
"programme";-0,837;0,837
"concours";-1,7596;1,7596
"stage";-1,2561;1,2561
"pédagogique";-1,1722;1,1722
"agrégation";-1,4239;1,4239
