"";"X.type_formelle";"X.type_informelle"
"art_ind";-2,6595;2,6595
"nom";-0,9892;0,9892
"aux";0,3762;-0,3762
"ver";-1,0821;1,0821
"art_def";0,6963;-0,6963
"num";1,0403;-1,0403
"nr";4,0507;-4,0507
"adj_num";3,3619;-3,3619
"adj";-1,069;1,069
"pro_per";1,4165;-1,4165
"pre";-0,287;0,287
"adj_ind";0,3182;-0,3182
"adv";0,2651;-0,2651
"ver_sup";1,1028;-1,1028
"pro_ind";-1,2001;1,2001
"adv_sup";1,4659;-1,4659
"con";-2,655;2,655
"nom_sup";3,0547;-3,0547
"pro_rel";-0,4212;0,4212
"adj_dem";0,6209;-0,6209
"pro_dem";-0,3856;0,3856
"adj_pos";-0,7232;0,7232
"ono";0,3105;-0,3105
"adj_sup";0,3554;-0,3554
